ID,COU,RES,SITE,SITE_ID,PLOT,GRAZ,DVS,DSS,STY,TAXOUSDA,TAXNWRB,STE,SDE,VEG,ELE-ALOS30,ELE EGM96,BIOME,DIST_EQUATOR,Lat_decimal,Long_decimal,NDVImean_S2,NDVI_Mean_L8,NDVI_Mean_SD_L8,NDVI_Mean_CV_L8,NDVI_Max_L8,NDVI_Max_SD_L8,NDVI_Max_CV_L8,NDVI_Mean_MODIS,NDVI_SD_Mean_MODIS,NDVI_CV_Mean_MODIS,NDVI_Max_MODIS,NDVI_Max_SD_MODIS,NDVI_Max_CV_MODIS,ASPECT-ALOS30,SLOPE-ALOS30,WP Distance,AMT,MDR,ISO,TSE,MAWM,MIWM,TAR,MTWEQ,MTDQ,MTWAQ,MTCQ,RAI,RAWM,RADM,RASE,RAWEQ,RADQ,RAWAQ,RACQ,MTMAX,MTMIN,AI,AI_v3,ARIDITY,ARIDITY v3
46,Australia,"Eldridge, David",Hay site,14,3,1,2016/05/23,2016/05/24,Calcic Luvisol,Torrox,Haplic Vertisols,Loam,>2000,2,89,90,,34.6938,-34.69379,144.79988,0.099610899,0.221987089,0.052971127,0.238622557,0.442007661,0.160518864,0.363158556,0.314504111,0.074521115,0.236947983,0.534545,0.153736745,0.287602999,231,1.4601,8467.6486,17.1,13.4,46.03,571.4396,30.6,1.6,29,13.7,21.2,24.1,10,378,37,25,13.476,107,83,91,94,23.8,10.4,0.1931,0.1911,0.8069,0.8089
47,Australia,"Eldridge, David",Hay site,14,4,0,2016/05/24,2016/05/25,Calcic Luvisol,Torrox,Haplic Vertisols,Sandy Clay Loam,>2000,2,87,87,,34.7892,-34.78923,144.78058,0.10698134,0.249240712,0.052205627,0.209458665,0.484885931,0.170630545,0.351898321,0.315846324,0.066403603,0.210240227,0.508065,0.141140905,0.277800882,231,2.9203,11652.8259,17.1,13.1,45.69,563.7154,30.4,1.8,28.6,13.7,21.2,24.1,10.2,379,37,25,13.6914,107,83,92,95,23.6,10.5,0.1942,0.1913,0.8058,0.8087
48,Australia,"Eldridge, David",Nyngam,15,1,3,2016/06/21,2016/06/21,Chromic Vertisol,Ustox,Haplic Luvisols,Silt Loam,>2000,2,168,168,,31.4891,-31.48905,147.22937,0.152610873,0.337892933,0.048209005,0.142675388,0.670362413,0.131062749,0.195510289,0.304518498,0.049083332,0.161183418,0.469125,0.111818974,0.23835646,0,0,128.7363,19,13.5,45.09,603.6681,33,3.1,29.9,26.3,11.4,26.3,11.4,505,66,25,26.2313,160,89,160,89,25.7,12.2,0.2399,0.2409,0.7601,0.7591
49,Australia,"Eldridge, David",Nyngam,15,2,2,2016/06/21,2016/06/21,Chromic Vertisol,Ustox,Haplic Luvisols,Loam,>2000,2,170,169,,31.5108,-31.51075,147.21559,0.134264926,0.299299232,0.051850979,0.173241271,0.510270973,0.108002408,0.21165697,0.325150978,0.062072316,0.190903059,0.487325,0.116077582,0.238193367,330,2.1495,164.9545,19,13.4,44.99,603.2015,33,3.2,29.8,26.3,11.4,26.3,11.4,504,66,25,26.2174,161,88,161,88,25.7,12.3,0.239,0.2397,0.761,0.7603
50,Australia,"Eldridge, David",Nyngam,15,3,1,2016/06/22,2016/06/22,Chromic Vertisol,Ustox,Haplic Luvisols,Loam,>2000,2,169,168,,31.4907,-31.49073,147.23123,0.159110238,0.341711372,0.037283035,0.109106803,0.597891668,0.061532928,0.102916517,0.322812648,0.053532456,0.165831345,0.502085,0.113984155,0.22702163,0,0,2775.8557,19,13.5,45.09,603.6681,33,3.1,29.9,26.3,11.4,26.3,11.4,505,66,25,26.2313,160,89,160,89,25.7,12.2,0.2399,0.2409,0.7601,0.7591
51,Australia,"Wardle, Glenda",CEMB,16,1,3,2016/04/16,2016/04/16,Red sands,Psamments,Haplic Arenosols,Sand,,1,128,124,,23.4351,-23.43513,138.59104,0.09179658,0.17907192,0.043012065,0.240194359,0.300017983,0.012792977,0.042640701,0.199579338,0.026510377,0.132831269,0.26746,0.070721346,0.264418404,227,4.1086,158.915,24.1,15.3,47.81,616.8407,39,7,32,31.1,17.7,31.1,15.9,225,48,4,70.1964,115,21,115,22,31.7,16.4,0.0761,0.0758,0.9239,0.9242
52,Australia,"Wardle, Glenda",CEMB,16,2,2,2016/04/16,2016/04/16,Red sands,Ustox,Haplic Arenosols,Sand,,1,134,135,,23.4191,-23.41908,138.5849,0.084627977,0.164070256,0.035758487,0.217946187,0.222244188,0.054248524,0.244094229,0.189424842,0.025609989,0.135198684,0.24005,0.051146883,0.213067625,227,1.3715,2030.9391,24.1,15.3,47.68,615.3582,39,7,32,31.1,17.7,31.1,15.9,227,49,4,70.7303,116,21,116,22,31.7,16.5,0.0768,0.0766,0.9232,0.9234
53,Australia,"Wardle, Glenda",CEMB,16,3,1,2016/04/16,2016/04/16,Red sands,Psamments,Haplic Arenosols,Sand,,1,134,137,,23.4102,-23.41018,138.57575,0.094702467,0.190246065,0.045287755,0.238048315,0.261032974,0.070064247,0.26841148,0.204383172,0.025066641,0.122645329,0.26064,0.056361413,0.216242375,253,3.1675,3306.8933,24.1,15.3,47.68,614.3602,39,7,32,31,17.7,31,15.9,227,49,4,70.7303,116,21,116,22,31.7,16.4,0.0767,0.0764,0.9233,0.9236
54,Australia,"Wardle, Glenda",CEMB,16,4,0,2016/04/16,2016/04/16,Red sands,Ustox,Haplic Arenosols,Sand,,1,154,153,,23.3565,-23.35654,138.54465,0.08112663,0.16837174,0.036174849,0.214851072,0.223156999,0.039121639,0.175309935,0.197145148,0.026007454,0.131920337,0.243415,0.050155771,0.206050452,239,7.0708,10044.7633,24,15.1,47.66,611.1593,38.8,7.1,31.7,30.9,17.7,30.9,15.9,232,50,4,70.9702,119,21,119,22,31.6,16.5,0.0786,0.0782,0.9214,0.9218
55,Australia,"Wardle, Glenda",CNAB,17,1,3,2016/04/16,2016/04/16,Red sands,Ustox,Haplic Arenosols,Sand,85,1,168,169,,23.4343,-23.43435,138.29729,0.084385464,0.16108409,0.025410206,0.157744977,0.210109149,0.01889226,0.08991641,0.18506501,0.025971659,0.140338033,0.23081,0.052388839,0.226978202,47,1.3716,478.7049,23.8,15.5,47.88,618.1718,38.8,6.5,32.3,30.8,17.4,30.8,15.6,220,46,4,68.2051,111,20,111,21,31.5,16.1,0.0745,0.0741,0.9255,0.9259
56,Australia,"Wardle, Glenda",CNAB,17,2,2,2016/04/16,2016/04/16,Red sands,Ustox,Haplic Arenosols,Sand,85,1,175,171,,23.4115,-23.41146,138.28688,0.087625684,0.163911926,0.019713944,0.120271563,0.219741722,0.027683853,0.125983599,0.190145791,0.030450245,0.160141567,0.233255,0.047833213,0.20506833,90,1.0106,2564.1623,23.8,15.5,47.94,617.5679,38.8,6.5,32.3,30.8,17.4,30.8,15.6,221,46,4,67.8457,111,20,111,21,31.5,16.1,0.0745,0.0742,0.9255,0.9258
57,Australia,"Wardle, Glenda",CNAB,17,3,1,2016/04/16,2016/04/16,Red sands,Ustox,Haplic Arenosols,Sand,85,1,176,176,,23.39,-23.38997,138.27614,0.121922329,0.198581521,0.027816953,0.140078256,0.256234298,0.019742814,0.07704985,0.221259951,0.031752726,0.143508693,0.267335,0.046954673,0.175639827,0,0,5173.9501,23.8,15.5,48.11,616.2218,38.7,6.5,32.2,30.7,17.4,30.7,15.6,222,47,4,68.541,112,20,112,21,31.5,16,0.0749,0.0745,0.9251,0.9255
58,Australia,"Wardle, Glenda",CNAB,17,4,0,2016/04/16,2016/04/16,Red sands,Ustox,Petric Calcisols,Sand,85,1,193,187,,23.3631,-23.36312,138.26482,0.076803642,0.16176301,0.019955136,0.123360315,0.203146602,0.033343733,0.164136307,0.188190257,0.027426435,0.145737807,0.219235,0.036629069,0.16707674,253,3.1665,8349.1767,23.7,15.5,48.06,615.4714,38.6,6.4,32.2,30.7,17.3,30.7,15.5,226,48,4,69.2607,115,20,115,21,31.5,16,0.0765,0.0761,0.9235,0.9239
