"","table_no","p_value","ID","species","nurse_p","nurse_a","bare_p","bare_a"
"1155",1155,1,"193","Hermannia tomentosa",3,22,4,21
"1156",1156,1,"193","Ipomoea bolusiana",0,25,1,24
"1157",1157,0.117850895021366,"193","Talinum crispatulum",4,21,0,25
"1158",1158,0.47048642205879,"193","Otoptera burchellii",2,23,0,25
"1159",1159,0.47048642205879,"193","Merremia tridentata",2,23,0,25
"1160",1160,1,"193","Aristida meridionalis",2,23,2,23
"1161",1161,1,"193","Ipomoea indet.",0,25,1,24
"1162",1162,1,"193","Orthanthera jasminiflora",1,24,0,25
"1163",1163,NA,"194","Tephrosia burchellii",25,0,25,0
"1164",1164,0.777123746357262,"194","Aristida stipitata",13,12,11,14
"1165",1165,NA,"194","Stipagrostis uniplumis",25,0,25,0
"1166",1166,1,"194","Aristida congesta",4,21,5,20
"1167",1167,0.663421515816855,"194","Senna italica",2,23,4,21
"1168",1168,1,"194","Eragrostis lehmanniana",1,24,1,24
"1169",1169,0.19717159560015,"194","Requienia sphaerosperma",4,21,9,16
"1170",1170,0.761760667487734,"194","Aristida meridionalis",7,18,9,16
"1171",1171,1,"194","Hermannia tomentosa",3,22,2,23
"1172",1172,1,"194","Acacia erioloba",1,24,0,25
"1173",1173,NA,"195","Tephrosia burchellii",25,0,25,0
"1174",1174,NA,"195","Stipagrostis uniplumis",25,0,25,0
"1175",1175,0.376759117811582,"195","Aristida stipitata",7,18,11,14
"1176",1176,0.602167527748196,"195","Aristida meridionalis",3,22,1,24
"1177",1177,1,"195","Requienia sphaerosperma",0,25,1,24
"1178",1178,1,"195","Hermannia tomentosa",2,23,1,24
"1179",1179,0.761760667487734,"195","Aristida congesta",7,18,9,16
"1180",1180,0.723673609831763,"195","Senna italica",4,21,6,19
"1181",1181,1,"195","Merremia tridentata",1,24,0,25
"1182",1182,0.066274058801642,"196","Acacia erioloba",4,22,11,15
"1183",1183,0.248886097980799,"196","Aristida stipitata",20,6,24,2
"1184",1184,0.470841681990632,"196","Barleria macrostegia",0,26,2,24
"1185",1185,0.144990074029447,"196","Dicoma schinzii",6,20,12,14
"1186",1186,0.16551785869747,"196","Eragrostis lehmanniana",16,10,10,16
"1187",1187,0.160480030593858,"196","Eragrostis rigidior",12,14,18,8
"1188",1188,0.142581887442764,"196","Hermannia tomentosa",2,24,7,19
"1189",1189,0.348284066144778,"196","Indigofera alternans",17,9,21,5
"1190",1190,0.367382155720896,"196","Ptycholobium biflorum",6,20,10,16
"1191",1191,0.0899327896440097,"196","Schmidtia pappophoroides",7,19,14,12
"1192",1192,1,"196","Stipagrostis uniplumis",24,2,25,1
"1193",1193,0.742049648981827,"196","Talinum caffrum",5,21,7,19
"1194",1194,0.497064926151223,"196","Terminalia sericea",4,22,7,19
"1195",1195,1,"196","Tylosema esculentum",9,17,10,16
"1196",1196,1,"196","Albuca fleckii",8,18,8,18
"1197",1197,1,"196","Tephrosia burchellii",5,21,6,20
"1198",1198,1,"196","Walleria nutans",6,20,6,20
"1199",1199,1,"196","Chamaecrista biensis",1,25,2,24
