"","table_no","p_value","exp_nurse_p","exp_nurse_a","exp_bare_p","exp_bare_a","res_nurse_p","res_nurse_a","res_bare_p","res_bare_a","site_ID","ID","graz","aridity","species","nurse_p","nurse_a","bare_p","bare_a","association"
"101",101,1,4,4,71,71,0,0,0,0,"6","17","2","0.8223","Trichocline sinuata",4,71,4,71,"too_rare"
"102",102,0.00486223021013344,19,19,56,56,1.83532587096449,-1.83532587096449,-1.0690449676497,1.0690449676497,"6","17","2","0.8223","Nassella chilensis",27,48,11,64,"nurse"
"103",103,1,1,1,74,74,0,0,0,0,"6","17","2","0.8223","Prosopidastrum globosum",1,74,1,74,"too_rare"
"104",104,0.612293027457368,2,2,73,73,0.707106781186547,-0.707106781186547,-0.117041147196131,0.117041147196131,"6","17","2","0.8223","Boopis anthemoides",3,72,1,74,"too_rare"
"105",105,0.243443186193133,1.5,1.5,73.5,73.5,-1.22474487139159,1.22474487139159,0.174963553055941,-0.174963553055941,"6","17","2","0.8223","Larrea divaricata",0,75,3,72,"too_rare"
"106",106,0.476546211785049,1,1,74,74,1,-1,-0.116247638743819,0.116247638743819,"6","17","2","0.8223","Brachyclados lycioides",2,73,0,75,"too_rare"
"107",107,1,2,2,73,73,0,0,0,0,"6","17","2","0.8223","Ephedra triandra",2,73,2,73,"too_rare"
"108",108,1,0.5,0.5,74.5,74.5,0.707106781186547,-0.707106781186547,-0.0579284446363492,0.0579284446363492,"6","17","2","0.8223","Monttea aphylla",1,74,0,75,"too_rare"
"109",109,1,0.5,0.5,74.5,74.5,0.707106781186547,-0.707106781186547,-0.0579284446363492,0.0579284446363492,"6","17","2","0.8223","Gutierrezia baccharoides",1,74,0,75,"too_rare"
"110",110,2.6679545936248e-06,15,15,60,60,3.09838667696593,-3.09838667696593,-1.54919333848297,1.54919333848297,"6","18","1","0.8223","Lycium chilense",27,48,3,72,"nurse"
"111",111,0.612293027457368,2,2,73,73,0.707106781186547,-0.707106781186547,-0.117041147196131,0.117041147196131,"6","18","1","0.8223","Prosopidastrum globosum",3,72,1,74,"too_rare"
