"","country","ID","site_ID","plot","graz","aridity","replicate_no","nurse","NIntc_richness","NIntc_cover","NIntc_shannon","NInta_richness","NInta_cover","NInta_shannon"
"78","argentina",16,6,1,3,0.8212,3,"Condalia microphylla",0.2,-0.25,-0.253299877808149,0.4,-0.4,-0.404212722419053
"79","argentina",16,6,1,3,0.8212,4,"Condalia microphylla",0.25,0.426470588235294,0.352420011499504,0.5,0.852941176470588,0.704840022999008
"80","argentina",16,6,1,3,0.8212,5,"Condalia microphylla",0,0.621621621621622,-0.141262531084654,0,1.24324324324324,-0.247554839026212
"81","argentina",16,6,1,3,0.8212,6,"Condalia microphylla",0.285714285714286,0.537037037037037,0.0730414231091707,0.571428571428571,1.07407407407407,0.146082846218341
"82","argentina",16,6,1,3,0.8212,7,"Condalia microphylla",0,0.485294117647059,0.244526599583301,0,0.970588235294118,0.489053199166602
"83","argentina",16,6,1,3,0.8212,8,"Condalia microphylla",0.571428571428571,0.642857142857143,0.299740328586822,1.14285714285714,1.28571428571429,0.599480657173645
"84","argentina",16,6,1,3,0.8212,9,"Condalia microphylla",0.444444444444444,0.925,0.0980196794109204,0.888888888888889,1.85,0.196039358821841
"85","argentina",16,6,1,3,0.8212,10,"Condalia microphylla",-0.2,0.435294117647059,0.373888119054997,-0.333333333333333,0.870588235294118,0.747776238109994
"86","argentina",16,6,1,3,0.8212,11,"Condalia microphylla",0.333333333333333,0.104477611940299,0.308674089467615,0.666666666666667,0.208955223880597,0.617348178935231
"87","argentina",16,6,1,3,0.8212,12,"Condalia microphylla",-0.4,0.666666666666667,-0.757963221554982,-0.571428571428571,1.33333333333333,-0.862319771268634
"88","argentina",16,6,1,3,0.8212,13,"Condalia microphylla",0.444444444444444,0.89344262295082,0.248606952331515,0.888888888888889,1.78688524590164,0.49721390466303
"89","argentina",16,6,1,3,0.8212,14,"Condalia microphylla",-0.5,0.733333333333333,-0.694999093240869,-0.666666666666667,1.46666666666667,-0.820058365827226
"90","argentina",16,6,1,3,0.8212,15,"Condalia microphylla",0.166666666666667,0.00980392156862745,-0.363517283039136,0.333333333333333,0.0196078431372549,-0.533205244349957
"91","argentina",16,6,1,3,0.8212,16,"Condalia microphylla",-0.285714285714286,0.183908045977011,-0.565529698408103,-0.444444444444444,0.367816091954023,-0.722477125771753
"92","argentina",16,6,1,3,0.8212,17,"Condalia microphylla",0.428571428571429,0.620689655172414,0.244385873136232,0.857142857142857,1.24137931034483,0.488771746272464
"93","argentina",16,6,1,3,0.8212,18,"Condalia microphylla",-0.4,0.2,-0.124441836719227,-0.571428571428571,0.4,-0.221339748585503
"94","argentina",16,6,1,3,0.8212,19,"Condalia microphylla",0.2,-0.234042553191489,0.30867911457928,0.4,-0.379310344827586,0.61735822915856
"95","argentina",16,6,1,3,0.8212,20,"Condalia microphylla",-0.2,0.431034482758621,-0.213595392199204,-0.333333333333333,0.862068965517241,-0.352004290016526
"96","argentina",16,6,1,3,0.8212,21,"Condalia microphylla",0.375,0.0303030303030303,-0.355168568221447,0.75,0.0606060606060606,-0.524168840024939
"97","argentina",16,6,1,3,0.8212,22,"Condalia microphylla",0.285714285714286,0.490196078431373,0.148427951435709,0.571428571428571,0.980392156862745,0.296855902871417
"98","argentina",16,6,1,3,0.8212,23,"Condalia microphylla",0.375,0.538461538461538,0.228196169544316,0.75,1.07692307692308,0.456392339088632
"99","argentina",16,6,1,3,0.8212,24,"Condalia microphylla",0.5,0.297297297297297,0.799646881960289,1,0.594594594594595,1.59929376392058
"100","argentina",16,6,1,3,0.8212,25,"Condalia microphylla",-0.4,0.451612903225806,-0.353521440873466,-0.571428571428571,0.903225806451613,-0.522372871530322
"101","argentina",16,6,1,3,0.8212,26,"Prosopis flexuosa var. depressa",0,0.436507936507937,-0.194003704222852,0,0.873015873015873,-0.324963320526923
"102","argentina",16,6,1,3,0.8212,27,"Prosopis flexuosa var. depressa",0.166666666666667,0.421428571428571,0.303242182999431,0.333333333333333,0.842857142857143,0.606484365998861
"103","argentina",16,6,1,3,0.8212,28,"Prosopis flexuosa var. depressa",0.5,-0.0727272727272727,0.0470277154944707,1,-0.135593220338983,0.0940554309889414
"104","argentina",16,6,1,3,0.8212,29,"Prosopis flexuosa var. depressa",0.2,-0.277777777777778,0.0948858708219606,0.4,-0.434782608695652,0.189771741643921
"105","argentina",16,6,1,3,0.8212,30,"Prosopis flexuosa var. depressa",-0.2,0.225,-0.0121733947609909,-0.333333333333333,0.45,-0.0240539710369793
"106","argentina",16,6,1,3,0.8212,31,"Prosopis flexuosa var. depressa",0,0.163636363636364,0.513367903611251,0,0.327272727272727,1.0267358072225
"107","argentina",16,6,1,3,0.8212,32,"Prosopis flexuosa var. depressa",-0.222222222222222,0.226415094339623,-0.0609991280985459,-0.363636363636364,0.452830188679245,-0.114984313338437
"108","argentina",16,6,1,3,0.8212,33,"Prosopis flexuosa var. depressa",0,0.0121951219512195,-0.372787441398481,0,0.024390243902439,-0.543110215254761
"109","argentina",16,6,1,3,0.8212,34,"Prosopis flexuosa var. depressa",0.6,0.508196721311475,0.571147832667245,1.2,1.01639344262295,1.14229566533449
"110","argentina",16,6,1,3,0.8212,35,"Prosopis flexuosa var. depressa",0.5,0.536764705882353,0.590746932497734,1,1.07352941176471,1.18149386499547
"111","argentina",16,6,1,3,0.8212,36,"Prosopis flexuosa var. depressa",0,0.544378698224852,0.0697687533405859,0,1.0887573964497,0.139537506681172
"112","argentina",16,6,1,3,0.8212,37,"Prosopis flexuosa var. depressa",0.4,0.865853658536585,0.0743660147912754,0.8,1.73170731707317,0.148732029582551
"113","argentina",16,6,1,3,0.8212,38,"Prosopis flexuosa var. depressa",0.25,0.9125,0.193117757730048,0.5,1.825,0.386235515460096
"114","argentina",16,6,1,3,0.8212,39,"Prosopis flexuosa var. depressa",0.333333333333333,0.881818181818182,0.215372341013965,0.666666666666667,1.76363636363636,0.430744682027929
"115","argentina",16,6,1,3,0.8212,40,"Prosopis flexuosa var. depressa",-0.6,0.566666666666667,-0.660445887487117,-0.75,1.13333333333333,-0.795504258782707
"116","argentina",16,6,1,3,0.8212,41,"Prosopis flexuosa var. depressa",0.428571428571429,0.643939393939394,0.458690321896866,0.857142857142857,1.28787878787879,0.917380643793732
"117","argentina",16,6,1,3,0.8212,42,"Prosopis flexuosa var. depressa",0.333333333333333,0.435185185185185,0.075130697951475,0.666666666666667,0.87037037037037,0.15026139590295
